slice_lower_limit,slice_upper_limit,n,a,b,b_std,b_std/abs(b),abs(b)/b_std
1.000e-30,1.000e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.100e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.200e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.300e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.400e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.500e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.600e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.700e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.800e+23,0,nan,nan,nan,nan,nan
1.000e-30,1.900e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.000e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.100e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.200e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.300e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.400e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.500e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.600e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.700e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.800e+23,0,nan,nan,nan,nan,nan
1.000e-30,2.900e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.000e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.100e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.200e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.300e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.400e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.500e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.600e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.700e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.800e+23,0,nan,nan,nan,nan,nan
1.000e-30,3.900e+23,1,nan,nan,nan,nan,nan
1.000e-30,4.000e+23,1,nan,nan,nan,nan,nan
1.000e-30,4.100e+23,1,nan,nan,nan,nan,nan
1.000e-30,4.200e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.300e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.400e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.500e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.600e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.700e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.800e+23,2,nan,nan,nan,nan,nan
1.000e-30,4.900e+23,2,nan,nan,nan,nan,nan
1.000e-30,5.000e+23,2,nan,nan,nan,nan,nan
1.000e-30,5.100e+23,2,nan,nan,nan,nan,nan
1.000e-30,5.200e+23,2,nan,nan,nan,nan,nan
